taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
196301	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Pseudofavolus	Pseudofavolus tenuis	tenuis	P. tenuis	Hexagonia tenuis	Pseudofavolus tenuis		"Willson, P."		1903	Honduras	Valle	"Rio Esperanza, Puerto Sierra"	Mycoportal	
5324	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes marianna	marianna	T. marianna	Trametes marianna	Trametes marianna		"Willson, P."	202	1903	Honduras	Valle		Mycoportal	
2268961	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Datronia	Datronia brunneoleuca	brunneoleuca	D. brunneoleuca	Datronia brunneoleuca	Datronia brunneoleuca		"Willson, P."	201	1903	Honduras	Valle		Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus arcularius	arcularius	L. arcularius	Hexagonia hondurensis	Lentinus arcularius				1904	Honduras			IndexFungorum	
40473	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phylloporia	Phylloporia chrysites	chrysites	P. chrysites	Inonotus wilsonii	Phylloporia chrysites				1904	Honduras			IndexFungorum	
65356	Chromista	Oomycota	Oomycota class incertae sedis	Albuginales	Albuginaceae	Albugo	Albugo ipomoeae-panduratae	ipomoeae-panduratae	A. ipomoeae-panduratae	Albugo ipomoeae-panduratae	Albugo ipomoeae-panduratae	"Stevenson, J. A."	"Kellerman, W. A."		1905	Honduras	Cortés		Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Rigidoporus microporus	Rigidoporus microporus		"Peck, M. E."		1906	Honduras	Islas de la Bahía	Near Punta Gorda	Mycoportal	
175855	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia undulata	undulata	F. undulata	Fomitiporia undulata	Fuscoporia undulata		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma amazonense	amazonense	G. amazonense	Ganoderma amazonense	Ganoderma amazonense		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma oerstedii	oerstedii	G. oerstedii	Ganoderma oerstedii	Ganoderma oerstedii		"Peck, M. E."		1906	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma stipitatum	stipitatum	G. stipitatum	Ganoderma stipitatum	Ganoderma stipitatum		"Peck, M. E."		1906	Honduras			Mycoportal	
5352	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula boryana	boryana	L. boryana	Lentinula boryana	Lentinula boryana		"Peck, M. E."	176	1906	Honduras			Mycoportal	
34448	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius haematocephalus	haematocephalus	M. haematocephalus	Marasmius haematocephalus	Marasmius haematocephalus		"Peck, M. E."		1906	Honduras			Mycoportal	
40470	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus gilvus	gilvus	P. gilvus	Fuscoporia gilva	Phellinus gilvus		"Peck, M. E."		1906	Honduras			Mycoportal	
47424	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea	mellea	A. mellea	Armillaria mellea	Armillaria mellea		"Peck, M. E."	474	1906	Honduras			Mycoportal	
50989	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Rickenella	Rickenella fibula	fibula	R. fibula	Rickenella fibula	Rickenella fibula		"Peck, M. E."		1906	Honduras			Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Rigidoporus microporus	Rigidoporus microporus		"Peck, M. E."		1906	Honduras			Mycoportal	
139379	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete iodina	iodina	H. iodina	Cyclomyces iodinus	Hymenochaete iodina		"Peck, M. E."		1906	Honduras			Mycoportal	
139379	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete damicornis	damicornis	H. damicornis	Hymenochaete damicornis	Hymenochaete damicornis		"Peck, M. E."		1906	Honduras			Mycoportal	
1929757	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Desarmillaria	Desarmillaria tabescens	tabescens	D. tabescens	Armillaria tabescens	Desarmillaria tabescens		"Peck, M. E."		1906	Honduras			Mycoportal	
5644	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum ostrea	ostrea	S. ostrea	Stereum ostrea	Stereum ostrea		"Peck, M. E."		1906	Honduras			Mycoportal	
5644	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum ostrea	ostrea	S. ostrea	Stereum ostrea	Stereum ostrea		"Peck, M. E."		1906	Honduras			Mycoportal	
34448	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius berteroi	berteroi	M. berteroi	Marasmius berteroi	Marasmius berteroi		"Peck, M. E."		1906	Honduras			Mycoportal	
34448	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius berteroi	berteroi	M. berteroi	Marasmius berteroi	Marasmius berteroi		"Peck, M. E."		1906	Honduras			Mycoportal	
34448	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius synodicus	synodicus	M. synodicus	Marasmius synodicus	Marasmius synodicus		"Peck, M. E."		1906	Honduras			Mycoportal	
40463	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora aurantiaca	aurantiaca	P. aurantiaca	Peniophora aurantiaca	Peniophora aurantiaca	aurantiaca	"Peck, M. E."		1906	Honduras			Mycoportal	
40463	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora aurantiaca	aurantiaca	P. aurantiaca	Peniophora aurantiaca	Peniophora aurantiaca		"Peck, M. E."		1906	Honduras			Mycoportal	
40470	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus nilgheriensis	nilgheriensis	P. nilgheriensis	Phellinus nilgheriensis	Phellinus nilgheriensis		"Peck, M. E."		1906	Honduras			Mycoportal	
40473	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phylloporia	Phylloporia pectinata	pectinata	P. pectinata	Phylloporia pectinata	Phylloporia pectinata		"Peck, M. E."		1906	Honduras			Mycoportal	
103391	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Podoscypha	Podoscypha nitidula	nitidula	P. nitidula	Stereum surinamense	Podoscypha nitidula	"Burt, E. A."	"Peck, M. E."		1906	Honduras			Mycoportal	
104351	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus fumosifolius	fumosifolius	C. fumosifolius	Melanotus fumosofolius	Crepidotus fumosifolius		"Peck, M. E."		1906	Honduras			Mycoportal	
2607957	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis stenophylla	stenophylla	C. stenophylla	Marasmius stenophyllus	Collybiopsis stenophylla		"Peck, M. E."		1906	Honduras			Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Hexagonia hydnoides	Cerrena hydnoides		"Peck, M. E."		1906	Honduras			Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Hexagonia hydnoides	Cerrena hydnoides		"Peck, M. E."		1906	Honduras			Mycoportal	
93827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus montagnei	montagnei	G. montagnei	Caripia montagnei	Gymnopus montagnei		"Peck, M. E."		1906	Honduras			Mycoportal	
114778	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Hexagonia	Hexagonia sp.	sp.	Hexagonia sp.	Hexagonia	Hexagonia sp.		"Peck, M. E."		1906	Honduras			Mycoportal	
